"clustername","bootstrap","leafname","branchPath","medianOfDistances","sequencesperCluster"
"c8.1",0.99,"84@57_0$0.0204579-133",0.1026884,0.0409158,2
"c8.1",0.99,"122@95_0$0.0204579-133",0.1026884,0.0409158,2
"c8.2",0.998,"3@3_2",0.0930905,0.0371679,13
"c8.2",0.998,"97@70_0",0.1011005,0.0371679,13
"c8.2",0.998,"98@71_0",0.0968405,0.0371679,13
"c8.2",0.998,"7@7_2",0.0968405,0.0371679,13
"c8.2",0.998,"5@5_2",0.0999405,0.0371679,13
"c8.2",0.998,"6@6_2",0.1011005,0.0371679,13
"c8.2",0.998,"8@8_2$0.0131179-159",0.1026884,0.0371679,13
"c8.2",0.998,"4@4_2",0.0906805,0.0371679,13
"c8.2",0.998,"152",0.1026884,0.0371679,13
"c8.2",0.998,"12@11_2",0.0967205,0.0371679,13
"c8.2",0.998,"15@12_2$0.0154779-163",0.1026884,0.0371679,13
"c8.2",0.998,"10@10_2",0.0925905,0.0371679,13
"c8.2",0.998,"13@11_2",0.1007905,0.0371679,13
"c8.3",0.912,"69@42_0",0.1001805,0.0258379,18
"c8.3",0.912,"55@34_5$0.0005079-202",0.1026884,0.0258379,18
"c8.3",0.912,"35@24_5$0.0003779-203",0.1026884,0.0258379,18
"c8.3",0.912,"50@33_5$0.0002679-195",0.1026884,0.0258379,18
"c8.3",0.912,"60@35_5",0.1025705,0.0258379,18
"c8.3",0.912,"40@25_5$0.0005679-187",0.1026884,0.0258379,18
"c8.3",0.912,"33@24_5$0.0096779-200",0.1026884,0.0258379,18
"c8.3",0.912,"169",0.1026884,0.0258379,18
"c8.3",0.912,"28@20_5$0.0013179-197",0.1026884,0.0258379,18
"c8.3",0.912,"192",0.1026884,0.0258379,18
"c8.3",0.912,"62@35_5$0.0002679-195",0.1026884,0.0258379,18
"c8.3",0.912,"31@22_5$0.0014779-199",0.1026884,0.0258379,18
"c8.3",0.912,"191",0.1026884,0.0258379,18
"c8.3",0.912,"48@32_5$0.0013179-197",0.1026884,0.0258379,18
"c8.3",0.912,"41@26_5$0.0049879-201",0.1026884,0.0258379,18
"c8.3",0.912,"34@24_5$0.0003779-203",0.1026884,0.0258379,18
"c8.3",0.912,"43@28_5",0.1024505,0.0258379,18
"c8.3",0.912,"45@30_5",0.1016705,0.0258379,18
"c8.4",0.988,"1@1_1",0.0979105,0.032,2
"c8.4",0.988,"2@2_1",0.0920105,0.032,2
"c8.5",0.946,"79@52_0$0.0236579-211",0.1026884,0.0368179,2
"c8.5",0.946,"121@94_0",0.0921905,0.0368179,2
"c8.6",1,"93@66_0$0.0102979-224",0.1026884,0.0179079,2
"c8.6",1,"94@67_0",0.1000005,0.0179079,2
"c8.7",0.998,"242",0.1026884,0.0363558,4
"c8.7",0.998,"240",0.1026884,0.0363558,4
"c8.7",0.998,"243",0.1026884,0.0363558,4
"c8.7",0.998,"92@65_0$0.0181779-238",0.1026884,0.0363558,4
"c8.8",0.966,"19@15_3",0.0958505,0.0348579,7
"c8.8",0.966,"250",0.1026884,0.0348579,7
"c8.8",0.966,"112@85_0$0.0221079-244",0.1026884,0.0348579,7
"c8.8",0.966,"113@86_0",0.1011705,0.0348579,7
"c8.8",0.966,"20@15_3",0.1011705,0.0348579,7
"c8.8",0.966,"124@97_0$0.0150479-248",0.1026884,0.0348579,7
"c8.8",0.966,"18@14_3$0.0027079-249",0.1026884,0.0348579,7
