"old_tips","cut_tree.tip.label"
"125@C_0","125@C_0"
"106@79_0","106@79_0"
"78@51_0","78@51_0"
"118@91_0","118@91_0"
"84@57_0","84@57_0$0.0204579-133"
"122@95_0","122@95_0$0.0204579-133"
"66@39_0","66@39_0"
"114@87_0","114@87_0$0.0325579-136"
"116@89_0","116@89_0"
"82@55_0","82@55_0$0.0296579-138"
"123@96_0","123@96_0$0.0229279-140"
"77@50_0","77@50_0$0.0217779-142"
"74@47_0","74@47_0$0.0217779-142"
"104@77_0","104@77_0$0.0290179-147"
"108@81_0","108@81_0"
"115@88_0","115@88_0"
"90@63_0","90@63_0"
"12@11_2","12@11_2"
"5@5_2","5@5_2"
"3@3_2","3@3_2"
"10@10_2","10@10_2"
"6@6_2","6@6_2"
"97@70_0","97@70_0"
"8@8_2","8@8_2$0.0131179-159"
"7@7_2","7@7_2"
"98@71_0","98@71_0"
"15@12_2","15@12_2$0.0154779-163"
"4@4_2","4@4_2"
"13@11_2","13@11_2"
"69@42_0","69@42_0"
"40@25_5","40@25_5$0.0005679-187"
"60@35_5","60@35_5"
"62@35_5","62@35_5$0.0002679-195"
"50@33_5","50@33_5$0.0002679-195"
"28@20_5","28@20_5$0.0013179-197"
"48@32_5","48@32_5$0.0013179-197"
"43@28_5","43@28_5"
"31@22_5","31@22_5$0.0014779-199"
"45@30_5","45@30_5"
"33@24_5","33@24_5$0.0096779-200"
"41@26_5","41@26_5$0.0049879-201"
"55@34_5","55@34_5$0.0005079-202"
"35@24_5","35@24_5$0.0003779-203"
"34@24_5","34@24_5$0.0003779-203"
"71@44_0","71@44_0"
"80@53_0","80@53_0"
"85@58_0","85@58_0$0.0319579-207"
"1@1_1","1@1_1"
"2@2_1","2@2_1"
"86@59_0","86@59_0"
"79@52_0","79@52_0$0.0236579-211"
"121@94_0","121@94_0"
"88@61_0","88@61_0$0.0309579-214"
"65@38_0","65@38_0$0.0260579-215"
"73@46_0","73@46_0$0.0260579-215"
"111@84_0","111@84_0"
"107@80_0","107@80_0$0.0293079-217"
"103@76_0","103@76_0$0.0276779-218"
"109@82_0","109@82_0"
"63@36_0","63@36_0$0.0212679-222"
"110@83_0","110@83_0$0.0212679-222"
"87@60_0","87@60_0$0.0226379-223"
"102@75_0","102@75_0$0.0226379-223"
"93@66_0","93@66_0$0.0102979-224"
"94@67_0","94@67_0"
"91@64_0","91@64_0$0.0253179-227"
"117@90_0","117@90_0$0.0253179-227"
"70@43_0","70@43_0"
"72@45_0","72@45_0$0.0264379-229"
"68@41_0","68@41_0$0.0236279-230"
"81@54_0","81@54_0$0.0223379-231"
"101@74_0","101@74_0$0.0223379-231"
"83@56_0","83@56_0$0.0251379-234"
"67@40_0","67@40_0$0.0251379-234"
"89@62_0","89@62_0$0.0234979-235"
"119@92_0","119@92_0"
"92@65_0","92@65_0$0.0181779-238"
"112@85_0","112@85_0$0.0221079-244"
"19@15_3","19@15_3"
"20@15_3","20@15_3"
"113@86_0","113@86_0"
"124@97_0","124@97_0$0.0150479-248"
"18@14_3","18@14_3$0.0027079-249"
"64@37_0","64@37_0"
"120@93_0","120@93_0"
"126@J_0","126@J_0"
"141","141"
"152","152"
"169","169"
"191","191"
"192","192"
"240","240"
"242","242"
"243","243"
"250","250"
