"old_tips","cut_tree.tip.label"
"125@C_0","125@C_0$0.08586185-128"
"106@79_0","106@79_0$0.03464185-129"
"78@51_0","78@51_0$0.02931185-130"
"118@91_0","118@91_0$0.01913185-132"
"84@57_0","84@57_0$0.00762185-133"
"122@95_0","122@95_0$0.00762185-133"
"66@39_0","66@39_0$0.01972185-136"
"114@87_0","114@87_0$0.01972185-136"
"116@89_0","116@89_0$0.02134185-137"
"82@55_0","82@55_0$0.01682185-138"
"123@96_0","123@96_0$0.01009185-140"
"77@50_0","77@50_0$0.00894185-142"
"74@47_0","74@47_0$0.00894185-142"
"104@77_0","104@77_0$0.01618185-147"
"108@81_0","108@81_0$0.01618185-147"
"115@88_0","115@88_0$0.01850185-146"
"90@63_0","90@63_0$0.01859185-148"
"8@8_2","8@8_2$0.00028185-159"
"15@12_2","15@12_2$0.00264185-163"
"4@4_2","4@4_2$0.00702185-162"
"13@11_2","13@11_2$0.00943185-161"
"69@42_0","69@42_0$0.01737185-165"
"71@44_0","71@44_0$0.01569185-205"
"80@53_0","80@53_0$0.01569185-205"
"85@58_0","85@58_0$0.01912185-207"
"1@1_1","1@1_1$0.01089185-209"
"2@2_1","2@2_1$0.01089185-209"
"86@59_0","86@59_0$0.01572185-210"
"79@52_0","79@52_0$0.01082185-211"
"121@94_0","121@94_0$0.01082185-211"
"88@61_0","88@61_0$0.01812185-214"
"65@38_0","65@38_0$0.01322185-215"
"73@46_0","73@46_0$0.01322185-215"
"111@84_0","111@84_0$0.01916185-213"
"107@80_0","107@80_0$0.01647185-217"
"103@76_0","103@76_0$0.01484185-218"
"109@82_0","109@82_0$0.01484185-218"
"63@36_0","63@36_0$0.00843185-222"
"110@83_0","110@83_0$0.00843185-222"
"87@60_0","87@60_0$0.00980185-223"
"102@75_0","102@75_0$0.00980185-223"
"91@64_0","91@64_0$0.01248185-227"
"117@90_0","117@90_0$0.01248185-227"
"70@43_0","70@43_0$0.01360185-229"
"72@45_0","72@45_0$0.01360185-229"
"68@41_0","68@41_0$0.01079185-230"
"81@54_0","81@54_0$0.00950185-231"
"101@74_0","101@74_0$0.00950185-231"
"83@56_0","83@56_0$0.01230185-234"
"67@40_0","67@40_0$0.01230185-234"
"89@62_0","89@62_0$0.01066185-235"
"119@92_0","119@92_0$0.01066185-235"
"92@65_0","92@65_0$0.00534185-238"
"112@85_0","112@85_0$0.00927185-244"
"19@15_3","19@15_3$0.00025185-246"
"124@97_0","124@97_0$0.00221185-248"
"64@37_0","64@37_0$0.01166185-251"
"120@93_0","120@93_0$0.01166185-251"
"126@J_0","126@J_0"
"141","141"
"150","150"
"158","158"
"160","160"
"164","164"
"167","167"
"200","200"
"224","224"
"240","240"
"242","242"
"243","243"
"247","247"
"249","249"
