"old_tips","cut_tree.tip.label"
"125@C_0","125@C_0$0.0730258-128"
"106@79_0","106@79_0$0.0218058-129"
"78@51_0","78@51_0$0.0164758-130"
"118@91_0","118@91_0$0.0062958-132"
"66@39_0","66@39_0$0.0068858-136"
"114@87_0","114@87_0$0.0068858-136"
"116@89_0","116@89_0$0.0085058-137"
"82@55_0","82@55_0$0.0039858-138"
"104@77_0","104@77_0$0.0033458-147"
"108@81_0","108@81_0$0.0033458-147"
"115@88_0","115@88_0$0.0056658-146"
"90@63_0","90@63_0$0.0057558-148"
"69@42_0","69@42_0$0.0045358-165"
"71@44_0","71@44_0$0.0028558-205"
"80@53_0","80@53_0$0.0028558-205"
"85@58_0","85@58_0$0.0062858-207"
"86@59_0","86@59_0$0.0028858-210"
"88@61_0","88@61_0$0.0052858-214"
"65@38_0","65@38_0$0.0003858-215"
"73@46_0","73@46_0$0.0003858-215"
"111@84_0","111@84_0$0.0063258-213"
"107@80_0","107@80_0$0.0036358-217"
"103@76_0","103@76_0$0.0020058-218"
"109@82_0","109@82_0$0.0020058-218"
"70@43_0","70@43_0$0.0007658-229"
"72@45_0","72@45_0$0.0007658-229"
"126@J_0","126@J_0"
"133","133"
"140","140"
"142","142"
"149","149"
"166","166"
"209","209"
"211","211"
"222","222"
"223","223"
"224","224"
"227","227"
"230","230"
"234","234"
"235","235"
"238","238"
"244","244"
"251","251"
