cluster_id,PD,timespan,size,tmrca,R_Oster
c11,0.0001063501,17.0677215190062,7,2021-04-20,13.0719397894728
c46,0.0001344358,23.3429124624047,7,2021-06-30,7.58840367060001
c47,3.50406e-05,9.09029535870786,5,2021-06-17,47.3387030666851
Background,0.0348326652,192.066239490963,455,2021-01-17,1.20109960591837
